address,count,first,last,perc,cumulative,cumulative_perc,label
0x776bb566dc299c9e722773d2a04b401e831a6dc8,2055,11421726,14244556,0.01,14280183,98.01,okexminingpool
0x7c6694032b4db11ac485e1cff0f7509d58b41569,2019,5417886,7178740,0.01,14282202,98.02,whalesburgpool
0x8122abd38e70a25af2315c1556b0c6940506cff5,1985,6940076,8133401,0.01,14284187,98.04,
0x41c74604182a1531534e6d553b49b1d78e6fa9a2,1958,6063053,9989783,0.01,14286145,98.05,
0x3e7420f95c4bff6d2d855656df1e8c53e1ea5216,1934,7609798,11416532,0.01,14288079,98.07,
0x92e3f585ab699445fd7a809b5edf0c3dc88fb549,1929,4397912,6579497,0.01,14290008,98.08,
0x646db8ffc21e7ddc2b6327448dd9fa560df41087,1913,14492702,14569959,0.01,14291921,98.09,
0x1b01460fe8e17173d8659cdf4ee3ec7136e58179,1897,566800,1924322,0.01,14293818,98.1,
0x65c748e146d83c189d9af9eb0e98a657898633da,1886,1146717,5056203,0.01,14295704,98.12,
0x7b818b805ac3a94e74e5d417f5871ca0a53fd04d,1811,2540129,3184445,0.01,14297515,98.13,
0xad5c1768e5974c231b2148169da064e61910f31a,1785,3290,1960141,0.01,14299300,98.14,
0x6cd82f055e7fe2673e61f22e0292caeefd88249d,1758,2639111,2909403,0.01,14301058,98.15,
0x0037ce3d4b7f8729c8607d8d0248252be68202c0,1715,22816,607433,0.01,14302773,98.17,
0x4e2f2f1d8e0870cd073a0286cbc99c911053446b,1711,359649,656190,0.01,14304484,98.18,
0x8d35067233605bef6069191ae0922d134ff80d48,1695,5379317,6455821,0.01,14306179,98.19,etherdig
0xe8f3b0ad85889a12b3d59d0b2dc257b08793e9f8,1663,124045,1867839,0.01,14307842,98.2,
0xd9580260be45c3c0c2fb259a82f219b513054012,1657,5628892,6474794,0.01,14309499,98.21,
0xf32866d5ce9a9b5673e076be48abcd6ed48ade78,1649,6042,1464269,0.01,14311148,98.22,
0x6f24d7fc7fb17d051c25be5da1af150077d60fc1,1633,7016752,9031424,0.01,14312781,98.23,
0xbaef66124e137eb5ee0de1bbab5a30002508a1bf,1611,278448,1005420,0.01,14314392,98.25,
0xeb1325c8d9d3ea8d74ac11f4b00f1b2367686319,1584,21943,135282,0.01,14315976,98.26,
0x7b0b579b76bbc4ebb7b2f279a6a7d8e2a7a44a24,1573,8724416,9201474,0.01,14317549,98.27,
0x61019148a7746cc2fa9d1e9c8e54b5f99a72a096,1542,124090,304021,0.01,14319091,98.28,
0x06328211d9ee493e0c02234650f9ee55dd4d164e,1540,1128160,3355865,0.01,14320631,98.29,
0x0f06d283513504c261ff789f33df1d93e9a5225c,1539,6752539,7156937,0.01,14322170,98.3,
0xbcb2e3693d246e1fc00348754334badeb88b2a11,1537,15180,60881,0.01,14323707,98.31,
0x9baa5b8b01eabeb0786e7620d89fd64e6f00a9a9,1533,383502,857457,0.01,14325240,98.32,
0x3763e6e1228bfeab94191c856412d1bb0a8e6996,1502,1358223,5284771,0.01,14326742,98.33,
0x53e11118300f77e8aa6a81fd658e27c5a0d88c77,1492,9610614,9960365,0.01,14328234,98.34,
0x4c10a52647e8ee35a166cef8aa5b01e3c4e267b0,1487,1668149,2301230,0.01,14329721,98.35,
0xa70a9a7040d542c632d8e0be7c5513a8a5bbc752,1451,67773,1914983,0.01,14331172,98.36,
0xcc4b9f070005334306386e04e5b04d001ed7e068,1444,4050131,5603155,0.01,14332616,98.37,
0x9ad47b64f333fb2e313ee7828e11bef01aa8c2de,1429,2425958,2643281,0.01,14334045,98.38,
0xa39b0ff4c3413db472d62a12a7a474544b58bc25,1417,5863143,7069209,0.01,14335462,98.39,
0x5cecd1f7261e1f4c684e297be3edf03b825e01c4,1399,5396601,5968446,0.01,14336861,98.4,
0xdb5575378ef8318f9958be11309f7c30ab4121ad,1387,10502610,13099494,0.01,14338248,98.41,
0x5c8bf7d294b002c52bd0ba0fb480c7b30d6a0fb2,1383,3122518,3198988,0.01,14339631,98.42,
0x4894a542053248e0c504e3def2048c08f73e1ca6,1382,2591799,3831926,0.01,14341013,98.43,
0x12eb9bce34341d1163814843f8dca44dfebe913c,1373,8440191,11055439,0.01,14342386,98.44,
0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1370,70606,3462296,0.01,14343756,98.45,
0x7169ba68dc06305dd7e434e23b30eabc51be6aac,1341,1152972,1253710,0.01,14345097,98.46,
0x6cf387a1c50cf6b09634e0d24fdaa2c06be0ea95,1340,21166,1135263,0.01,14346437,98.47,
0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c,1335,18,79324,0.01,14347772,98.47,
0x9d49f602b0fdb924bd63dde2bd0907e4a07c63a7,1323,16242,157641,0.01,14349095,98.48,
0x727a42a8d67fcaa0ab81d46f1ee66bfc9b8789ac,1304,62240,2862110,0.01,14350399,98.49,
0x47ff6576639c2e94762ea5443978d7681c0e78dc,1273,44005,176555,0.01,14351672,98.5,
0xcd55a9b1e4c82856d36ec8abafe6da70161aa962,1268,725308,857129,0.01,14352940,98.51,
0xcf6ce585cb4a78a6f96e6c8722927161a696f337,1265,8814737,14507442,0.01,14354205,98.52,maxhash
0x007f7f58d3eb5b7510a301ecc749fc1fcddbe14d,1238,80098,160702,0.01,14355443,98.53,
0x11905bd0863ba579023f662d1935e39d0c671933,1222,5427241,14549552,0.01,14356665,98.54,comining
0x707361a65c1bc4dc7689100597e9ed6a554fd91d,1208,9037504,9183947,0.01,14357873,98.54,
0x0eded3da479d0bef8eec92a76644d3f4e3c177f7,1194,39132,240671,0.01,14359067,98.55,
0x17b719a685fc6c0002798e7f8151d0e2e83b7497,1174,117294,270693,0.01,14360241,98.56,
0xbf23b68ff20c411be5658595612f873d785f12d7,1166,4067275,4209374,0.01,14361407,98.57,
0xf2d2aff1320476cb8c6b607199d23175cc595693,1141,28359,93669,0.01,14362548,98.58,
0x6e8583b7b062b38851e3fc9f09346e920bdfb9d4,1129,6464142,11889339,0.01,14363677,98.58,
0xa1623430350c5df1b52b0b57483a5bb45d1796da,1112,266,962833,0.01,14364789,98.59,
0x54e23bcc99e5a5818b382ac5bddda496e199aa6b,1112,12606890,13893013,0.01,14365901,98.6,
0x8fce1ef27f3add1411c7a99be402de598ad38389,1109,7069800,8798282,0.01,14367010,98.61,ethashpool
0xbb12b5a9b85d4ab8cde6056e9c1b2a4a337d2261,1102,627,70308,0.01,14368112,98.61,
0xc02220c2732cfad7eba3377831dcc9cc6fdd9466,1080,462594,686696,0.01,14369192,98.62,
0xea70c281e83db1995f7fe63e6399ced96f997a3e,1068,3435640,3671871,0.01,14370260,98.63,
0x4ff2588ff42954bb45127ad4805099796756acf5,1051,9037763,9175328,0.01,14371311,98.64,
0x8727716b7f5b5b9d2febcf3612289064b4e687a5,1034,3715283,4066981,0.01,14372345,98.64,
0x0193d941b50d91be6567c7ee1c0fe7af498b4137,1001,6,284036,0.01,14373346,98.65,
